Category,Sub-Category,Count
Educational Institute,School,1000
Educational Institute,Tuition Center,1000
Fitness & Wellness,Gym,1000
Educational Institute,University,1000
Educational Institute,College,1000
Educational Institute,Art School,1000
Educational Institute,Music School,1000
Fitness & Wellness,Yoga Studio,1000
Educational Institute,Driving School,1000
Educational Institute,Dance School,1000
Outdoor Space,Park,1000
Restaurant,Cafe,1000
Office,Advertising Agency,1000
Office,Travel Agency,1000
Office,Law Firm,1000
Transportation,Taxi Stand,1000
Restaurant,Bakery,1000
Restaurant,Ice Cream Parlor,1000
Transportation,Bus Stop,1000
Financial Institution,Bank,1000
Financial Institution,ATM,1000
Office,Media Company,1000
Shop,Pharmacy,1000
Office,Corporate Office,1000
Outdoor Space,Garden,1000
Restaurant,Fast Food,1000
Transportation,Airport,1000
Restaurant,Bar,1000
Restaurant,Buffet,1000
Shop,Hardware Store,1000
Office,Accounting Firm,1000
Shop,Shoe Store,1000
Office,Insurance Agency,1000
Office,Non-Profit Organization,1000
Transportation,Railway Station,1000
Hotel,Hotels,1000
Restaurant,Fine Dining,1000
Government Building,Police Station,1000
Government Building,Library,1000
Shop,Diary,1000
Shop,Stationery,1000
Entertainment,Sports Complex,1000
Shop,Beauty Parlour,1000
Shop,Clothing,1000
Shop,Electronics,1000
Outdoor Space,Forest,1000
Fuel Station,Petrol Pump,1000
Personal Care,Hair Salon,1000
Government Building,Post Office,1000
Event Venue,Stadium,1000
Personal Care,Laundry,1000
Entertainment,Movie Theater,1000
Shop,Convenience Store,1000
Restaurant,Pub,1000
Restaurant,Pizzeria,1000
Outdoor Space,Lake,1000
Hotel,Hostels for staying near me,1000
Government Building,City Hall,1000
Financial Institution,Investment Firm,1000
Fuel Station,LPG Station,1000
Entertainment,Amusement Park,1000
Office,Co-working Space,1000
Event Venue,Conference Center,1000
Event Venue,Arena,1000
Entertainment,Museum,1000
Entertainment,Zoo,1000
Outdoor Space,River,1000
Pilgrimage Place,Temple,1000
Event Venue,Convention Center,1000
Restaurant,Food Truck,1000
Fuel Station,Electrical Charging Station,1000
Pilgrimage Place,Church,1000
Pilgrimage Place,Gurudwara,1000
Hospital,Mental Health Clinic,1000
Hospital,Rehabilitation Center,1000
Hospital,General Hospital,1000
Hotel,Resorts ,1000
Hospital,Maternity Hospital,1000
Government Building,Fire Station,1000
Government Building,Courthouse,1000
Hospital,Dental Clinic,1000
Hospital,Children's Hospital,1000
Entertainment,Comedy Club,1000
Hospital,Eye Clinic,1000
Pilgrimage Place,Shrine,1000
Pilgrimage Place,Mosque,1000
Entertainment,Concert Hall,1000
Hospital,Veterinary Clinic,1000
Hospital,Specialty Hospital,1000
Shopping Mall,Jewelry Store,1000
Shopping Mall,Departmental Store,1000
Hotel,Budget Hotel,1000
Pilgrimage Place,Monastery,1000
